,0
0,6.5
1,6.9
2,10.1
3,8.9
4,19.7
5,8.1
6,4.9
7,4.9
8,2.9
9,6.1
10,7.3
11,3.7
12,17.3
13,4.1
14,6.9
15,9.3
16,14.1
17,5.7
18,2.9
19,3.7
20,36.0
21,11.3
22,4.9
23,14.5
24,4.9
25,4.5
26,7.3
27,36.19
28,8.5
29,3.7
30,25.47
31,4.1
32,10.9
33,7.3
34,5.6
35,5.7
36,9.7
37,7.3
38,7.7
39,12.9
40,4.9
41,15.3
42,12.9
43,6.5
44,6.5
45,6.5
46,6.5
47,6.9
48,6.9
49,10.9
50,5.3
51,7.3
52,16.1
53,7.7
54,4.9
55,4.1
56,6.9
57,9.7
58,13.3
59,3.7
60,6.1
61,6.5
62,4.5
63,4.5
64,33.3
65,11.7
66,3.7
67,8.5
68,9.3
69,12.5
70,13.7
71,11.3
72,6.1
73,6.9
74,11.7
75,14.5
76,10.5
77,6.1
78,6.9
79,8.9
80,6.5
81,13.3
82,25.47
83,6.1
84,4.5
85,5.3
86,5.3
87,6.9
88,7.3
89,7.3
90,4.1
91,16.1
92,4.5
93,4.9
94,7.7
95,6.5
96,5.3
97,7.3
98,6.5
99,6.1
100,6.1
101,4.1
102,28.1
103,6.1
104,16.5
105,7.3
106,15.3
107,4.5
108,7.3
109,4.9
110,7.3
111,5.3
112,6.1
113,20.1
114,6.5
115,5.3
116,9.7
117,8.5
118,8.5
119,14.1
120,23.3
121,11.3
122,12.1
123,3.3
124,18.5
125,4.9
126,21.3
127,4.5
128,45.0
129,4.9
130,4.5
131,16.5
132,9.3
133,7.7
134,6.5
135,8.1
136,7.3
137,6.5
138,8.1
139,16.5
140,11.3
141,8.9
142,6.5
143,8.1
144,8.1
145,12.9
146,9.3
147,6.1
148,6.1
149,16.9
150,17.3
151,5.7
152,45.0
153,10.1
154,11.7
155,9.7
156,8.9
157,14.1
158,49.57
159,13.3
160,6.1
161,6.1
162,12.5
163,19.7
164,6.9
165,16.1
166,6.5
167,6.9
168,39.3
169,18.1
170,4.9
171,5.7
172,10.5
173,6.1
174,6.5
175,14.1
176,14.1
177,23.7
178,8.1
179,14.1
180,3.7
181,14.9
182,4.9
183,8.1
184,5.3
185,6.1
186,4.5
187,3.7
188,12.1
189,24.1
190,8.9
191,7.7
192,8.1
193,6.1
194,4.9
195,11.7
196,7.3
197,9.7
198,5.3
199,7.3
200,8.1
201,5.3
202,6.5
203,7.3
204,6.1
205,8.9
206,8.1
207,7.3
208,4.1
209,13.3
210,5.3
211,12.1
212,22.9
213,4.9
214,4.1
215,5.7
216,8.5
217,8.9
218,5.7
219,17.3
220,19.7
221,6.5
222,9.3
223,5.3
224,10.5
225,4.1
226,12.5
227,5.7
228,4.1
229,3.3
230,6.9
231,5.7
232,4.5
233,5.3
234,12.9
235,6.5
236,7.7
237,5.3
238,4.9
239,16.5
240,5.3
241,15.3
242,6.1
243,6.9
244,9.7
245,7.7
246,6.1
247,9.3
248,7.3
249,26.9
250,49.57
251,9.7
252,6.9
253,7.7
254,6.5
255,7.7
256,7.3
257,5.3
258,4.9
259,7.3
260,8.9
261,4.1
262,16.1
263,16.9
264,5.3
265,6.9
266,4.1
267,5.7
268,6.1
269,8.5
270,8.9
271,14.5
272,16.9
273,38.67
274,9.7
275,8.9
276,5.3
277,6.1
278,11.3
279,6.5
